"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Crowd/0/LGBTQ+ friendly","additionalInfo/Crowd/0/Transgender safespace","additionalInfo/Crowd/1/LGBTQ+ friendly","additionalInfo/Crowd/1/Transgender safespace","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Offerings/0/Installation service","additionalInfo/Offerings/0/Repair services","additionalInfo/Offerings/1/Installation service","additionalInfo/Offerings/1/Repair services","additionalInfo/Payments/0/Credit cards","additionalInfo/Payments/0/NFC mobile payments","additionalInfo/Payments/1/Credit cards","additionalInfo/Payments/1/NFC mobile payments","additionalInfo/Payments/2/Credit cards","additionalInfo/Payments/2/NFC mobile payments","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/English","additionalInfo/Service options/0/Online estimates","additionalInfo/Service options/0/Onsite services","additionalInfo/Service options/1/English","additionalInfo/Service options/1/Online estimates","additionalInfo/Service options/1/Onsite services","additionalInfo/Service options/2/English","additionalInfo/Service options/2/Online estimates","additionalInfo/Service options/2/Onsite services","additionalOpeningHours/Access/0/day","additionalOpeningHours/Access/0/hours","additionalOpeningHours/Access/1/day","additionalOpeningHours/Access/1/hours","additionalOpeningHours/Access/2/day","additionalOpeningHours/Access/2/hours","additionalOpeningHours/Access/3/day","additionalOpeningHours/Access/3/hours","additionalOpeningHours/Access/4/day","additionalOpeningHours/Access/4/hours","additionalOpeningHours/Access/5/day","additionalOpeningHours/Access/5/hours","additionalOpeningHours/Access/6/day","additionalOpeningHours/Access/6/hours","additionalOpeningHours/Online service hours/0/day","additionalOpeningHours/Online service hours/0/hours","additionalOpeningHours/Online service hours/1/day","additionalOpeningHours/Online service hours/1/hours","additionalOpeningHours/Online service hours/2/day","additionalOpeningHours/Online service hours/2/hours","additionalOpeningHours/Online service hours/3/day","additionalOpeningHours/Online service hours/3/hours","additionalOpeningHours/Online service hours/4/day","additionalOpeningHours/Online service hours/4/hours","additionalOpeningHours/Online service hours/5/day","additionalOpeningHours/Online service hours/5/hours","additionalOpeningHours/Online service hours/6/day","additionalOpeningHours/Online service hours/6/hours","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","checkInDate","checkOutDate","cid","city","claimThisBusiness","countryCode","depth","description","domain","emails/0","emails/1","emails/2","emails/3","emails/4","emails/5","facebooks/0","facebooks/1","fid","floor","googleFoodUrl","hotelStars","imageUrl","imagesCount","instagrams/0","instagrams/1","isAdvertisement","kgmid","language","linkedIns/0","locatedIn","location/lat","location/lng","menu","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","phones/0","phones/1","phones/2","phones/3","phones/4","phones/5","phones/6","phones/7","phones/8","phones/9","phones/10","phonesUncertain/0","phonesUncertain/1","phonesUncertain/2","phonesUncertain/3","phonesUncertain/4","phonesUncertain/5","phonesUncertain/6","phonesUncertain/7","phonesUncertain/8","phonesUncertain/9","phonesUncertain/10","phonesUncertain/11","phonesUncertain/12","pinterests/0","placeId","plusCode","postalCode","price","rank","reserveTableUrl","reviews","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","scrapedUrls/0","scrapedUrls/1","scrapedUrls/2","scrapedUrls/3","scrapedUrls/4","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","tiktoks/0","tiktoks/1","title","totalScore","twitters/0","url","website","whatsapps/0","youtubes/0","youtubes/1","youtubes/2","youtubes/3"
,,,,,,,,,,,,,,,"true",,,"true",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plumber","Service establishment",,,,,,,,,"Plumber",,,"2751246636949842323",,"false",,"0",,"plumbest.ca",,,,,,,,,"0xf5ed8cd9146c115:0x262e643d54e22993",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUc0xeeEvA1CdLHy9VozdHu-db0_BeURwA6DW_etjxwR-7qoW5q4yT6XPP5O43V5qGZ9I0pFWXjkCASC4r_IlOuFYm04egGpCkAkWGCIth4bY-vw68ldnK6nLnPEyCc_v4-tRhl7h5X_PH=w408-h272-k-no","7",,,"false","/g/11m5h9j3s6","en",,,"51.0276233","-114.087835",,,"Monday","7 AM to 7 PM","Tuesday","7 AM to 7 PM","Wednesday","7 AM to 7 PM","Thursday","7 AM to 7 PM","Friday","7 AM to 7 PM","Saturday","7 AM to 7 PM","Sunday","Closed","false","+1 403-463-8330","+14034638330",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJFcFGkc3YXg8RkyniVD1kLiY",,,,"32",,,"12","11","1","0","0","0","2026-04-18T17:36:27.385Z","http://plumbest.ca/",,,,,"https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber",,,,"false",,,"Plumbest Plumbing & Heating","4.9",,"https://www.google.com/maps/search/?api=1&query=Plumbest%20Plumbing%20%26%20Heating&query_place_id=ChIJFcFGkc3YXg8RkyniVD1kLiY","https://plumbest.ca/",,,,,
,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plumber","Service establishment","Furnace repair service","Gasfitter",,,,,,,"Plumber",,,"7507902169938932955",,"false",,,,,,,,,,,,,"0x5371779b31e9cfcf:0x68316d3eb79834db",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEx_u6jI7ydNMulZf_ro9dbR8NuhEs6UjBOtAJXCkA6TKaEqNDCskMFu0zmaDUIvI3bQDmlGqcexhGi8RTdr6GpJtleOjX0MHauIHKz7TVbiE-YnYGMky4wn9JbVwIx42gZYt5t=w464-h240-k-no","5",,,"false","/g/11clm29xpb","en",,,"51.0276233","-114.087835",,,"Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-585-2539","+14035852539",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJz8_pMZt3cVMR2zSYtz5tMWg",,,,"31",,,"27","27","0","0","0","0","2026-04-18T17:36:27.385Z",,,,,,"https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber",,,,"false",,,"X-Stream Plumbing And Heating Ltd.","5",,"https://www.google.com/maps/search/?api=1&query=X-Stream%20Plumbing%20And%20Heating%20Ltd.&query_place_id=ChIJz8_pMZt3cVMR2zSYtz5tMWg",,,,,,
,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plumber","Service establishment",,,,,,,,,"Plumber",,,"17334675361503118417",,"false",,"0",,"kpnplumbing.ca",,,,,,,"https://www.facebook.com/KPNPlumbing",,"0x4bb268893a234ca3:0xf0912365f31c0451",,,,,"0","https://www.instagram.com/kpnplumbingyyc",,"false","/g/11vm0gdq90","en",,,"51.0276233","-114.087835",,,,,,,,,,,,,,,,,"false","+1 403-608-9557","+14036089557","403-608-9557","4036089557",,,,,,,,,,"403-608-9557",,,,,,,,,,,,,,"ChIJo0wjOolosksRUQQc82UjkfA",,,,"37",,,"1","1","0","0","0","0","2026-04-18T17:36:27.386Z","https://www.kpnplumbing.ca/","https://www.kpnplumbing.ca/#section-kq2q08J7g","https://www.kpnplumbing.ca/contact-us","https://www.kpnplumbing.ca/renovations","https://www.kpnplumbing.ca/poly-b-information","https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber",,,,"false","https://tiktok.com/@plumbinggurus77","tiktok.com/@plumbinggurus77","KPN Plumbing & Heating Ltd.","5",,"https://www.google.com/maps/search/?api=1&query=KPN%20Plumbing%20%26%20Heating%20Ltd.&query_place_id=ChIJo0wjOolosksRUQQc82UjkfA","https://www.kpnplumbing.ca/",,"https://youtube.com/@ThePlumbingGurus","youtube.com/@ThePlumbingGurus",,
,,,,,,,,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185 Cranfield Manor SE, Calgary, AB T3M 1K6, Canada","Plumber","Plumbing supply store","Store",,,,,,,,"Plumber",,,"12205661079398050545","Calgary","false","CA","0",,"almyplumbing.com","jhughes@almyplumbing.com",,,,,,"https://www.facebook.com/almyplumbing",,"0x53717a1d11d07b97:0xa96338155654eaf1",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXL6uLa7-IA3TgkAXn6McHH_c4PzlW3Vy3xaKU42eOQa4_xzxvJmGRt_8ZU1ZoCETdwgxdwGRIel8N4bR1Na3TcVNiJKD_2IxWCsBb33Sayr2SYSMQXGmTvBVbGfIn0c2QJUA=w408-h306-k-no","4","https://instagram.com/almyplumbing",,"false","/g/11c3k6llf4","en",,,"50.885545","-113.9768275",,"Southeast Calgary","Monday","8 AM to 4 PM","Tuesday","8 AM to 4 PM","Wednesday","8 AM to 4 PM","Thursday","8 AM to 4 PM","Friday","8 AM to 4 PM","Saturday","Closed","Sunday","Closed","false","+1 403-257-3436","+14032573436",,,,,,,,,,,,"403-257-3436","403-888-3191",,,,,,,,,,,,,"ChIJl3vQER16cVMR8epUVhU4Y6k",,"T3M 1K6",,"29",,,"6","6","0","0","0","0","2026-04-18T17:36:27.385Z","http://almyplumbing.com/","http://almyplumbing.com/about.html","http://almyplumbing.com/index.html","http://almyplumbing.com/almy_plumbingfaq.html","http://almyplumbing.com/contact.html","https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber","Alberta","185 Cranfield Manor SE",,"false",,,"Almy Plumbing Inc","5",,"https://www.google.com/maps/search/?api=1&query=Almy%20Plumbing%20Inc&query_place_id=ChIJl3vQER16cVMR8epUVhU4Y6k","http://almyplumbing.com/",,,,,
,,,,,,,,,,,,,,,"true",,,"true",,"true",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plumber","Service establishment","Gasfitter",,,,,,,,"Plumber",,,"14579761583087548704",,"false",,"0",,"hvacservicescalgary.ca","milanvicplumbing@gmail.com",,,,,,,,"0x53719d3f9dfc141d:0xca55b7e9b5d1f920",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_e5W8IwqBXtjAf5nkwd3s1Uh2OlKH2yrogpbDY6pbDI6Bo6uhNWjLxBr5BNRM5w1tRXGC4y1syEMuFzwiBDYeY5BDFAkVzsorDY_TfsJaVLctfazb0M3FZrHI2QpHlK1yIzvfpw=w408-h306-k-no","40",,,"false","/g/11qptbsc9m","en",,,"51.0276233","-114.087835",,,"Monday","7 AM to 9 PM","Tuesday","7 AM to 9 PM","Wednesday","7 AM to 9 PM","Thursday","7 AM to 9 PM","Friday","7 AM to 9 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+1 403-890-8685","+14038908685","+14038908685",,,,,,,,,,,"+14038908685","114.0719","403-890-8685","20131998","1978-1998",,,,,,,,,,"ChIJHRT8nT-dcVMRIPnRtem3Vco",,,,"35",,,"21","21","0","0","0","0","2026-04-18T17:36:27.386Z","https://hvacservicescalgary.ca/","https://hvacservicescalgary.ca/contact/","https://hvacservicescalgary.ca/about/","https://hvacservicescalgary.ca/faq/","https://hvacservicescalgary.ca/blog/","https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber",,,,"false",,,"MV Pro Mechanical Inc. (previously known as MilanVic Plumbing & Heating Ltd.)","5",,"https://www.google.com/maps/search/?api=1&query=MV%20Pro%20Mechanical%20Inc.%20(previously%20known%20as%20MilanVic%20Plumbing%20%26%20Heating%20Ltd.)&query_place_id=ChIJHRT8nT-dcVMRIPnRtem3Vco","https://hvacservicescalgary.ca/","https://wa.me/14038908685",,,,
,,,,,,,,,,,,,,,"true",,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4522 112 Ave SE, Calgary, AB T2C 2K2, Canada","Plumber","HVAC contractor",,,,,,,,,"Plumber",,,"103303710407084705","Calgary","true","CA",,,,,,,,,,,,"0x537177605f6a2263:0x16f022d62cb4aa1",,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RYBf2qlOpvMD40WJBsuH2Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=9.793741&pitch=0&thumbfov=100","1",,,"false","/g/1tj5qdyh","en",,,"50.9522366","-113.971482",,"East Shepard Industrial",,,,,,,,,,,,,,,"false","+1 403-252-1101","+14032521101",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJYyJqX2B3cVMRoUrLYi0CbwE",,"T2C 2K2",,"37",,,"16","10","2","3","0","1","2026-04-18T17:36:26.993Z",,,,,,"https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","4522 112 Ave SE",,"false",,,"Deer Bridge Plumbing & Heating ltd","3.9",,"https://www.google.com/maps/search/?api=1&query=Deer%20Bridge%20Plumbing%20%26%20Heating%20ltd&query_place_id=ChIJYyJqX2B3cVMRoUrLYi0CbwE",,,,,,
,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plumber","Service establishment",,,,,,,,,"Plumber",,,"3762182678552004937",,"false",,"0",,"pythonplumbingab.ca","jamison@pythonplumbingab.ca",,,,,,,,"0xa728de91b054e3cb:0x3435f53697384949",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFuA2ZX6uzvFcij62kNRIFHErumALem-NIWk05sBFKaFsv3tn1Pkn1Xsj3l5vTO1lYURHNdIpD4aiPmuKYs60SaEG761gwLXiCeMRmVypfYGcu39Pjy8vGphg6HWM_cFsLOPrZJMeLwhKS3=w408-h397-k-no","1","https://www.instagram.com/pythonplumbingab",,"false","/g/11z2n8t7q5","en",,,"51.0276233","-114.087835",,,"Monday","8 AM to 6 PM","Tuesday","8 AM to 6 PM","Wednesday","8 AM to 6 PM","Thursday","8 AM to 6 PM","Friday","8 AM to 6 PM","Saturday","Closed","Sunday","Closed","false","+1 403-479-0244","+14034790244",,,,,,,,,,,,"403-479-0244",,,,,,,,,,,,,,"ChIJy-NUsJHeKKcRSUk4lzb1NTQ",,,,"21",,,"1","1","0","0","0","0","2026-04-18T17:36:27.384Z","https://www.pythonplumbingab.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7525399100990655954","https://www.pythonplumbingab.ca/services-4","https://www.pythonplumbingab.ca/contact-3","https://www.pythonplumbingab.ca/",,"https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber",,,,"false",,,"Python Plumbing & Heating","5",,"https://www.google.com/maps/search/?api=1&query=Python%20Plumbing%20%26%20Heating&query_place_id=ChIJy-NUsJHeKKcRSUk4lzb1NTQ","https://www.pythonplumbingab.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7525399100990655954",,,,,
,,,,,,,,,,,,,,,"true",,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3506 118 Ave SE #102, Calgary, AB T2C 0J4, Canada","Plumber",,,,,,,,,,"Plumber",,,"4857249955570476672","Calgary","true","CA",,,,,,,,,,,,"0x53717769a0f8ad5f:0x43686b198b0f6680",,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wkxUh5VjlIg602J-nMcpvg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=76.44203&pitch=0&thumbfov=100","1",,,"false","/g/11tcfgf94z","en",,,"50.9474416","-113.9875144",,"Southeast Calgary","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-252-5505","+14032525505",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJX634oGl3cVMRgGYPixlraEM",,"T2C 0J4",,"35",,,"13","8","0","5","0","0","2026-04-18T17:36:26.993Z",,,,,,"https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","3506 118 Ave SE #102",,"false",,,"Sundance Plumbing Heating & Gasfitting","3.5",,"https://www.google.com/maps/search/?api=1&query=Sundance%20Plumbing%20Heating%20%26%20Gasfitting&query_place_id=ChIJX634oGl3cVMRgGYPixlraEM",,,,,,
,,,,,,,,,,,,,"true",,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3142 Glenmore Ct SE, Calgary, AB T2C 2E6, Calgary, AB T0L 1W2, Canada","Plumber","Contractor",,,,,,,,,"Plumber",,,"17430420058216161738","Calgary","false","CA","0",,"jbplumbing.ca","info@jbplumbing.ca",,,,,,"https://www.facebook.com/jbplumbingltd",,"0x53710dce51a1a737:0xf1e54ab14fd161ca",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEH4qgVfBLl8llNjqt0nEIm8t_YjgAsg8mo4kP3CA4wBByko52b2yX7kVYSld6TTYFj9GgfxfSrRvSZ8CjawDNGSeq1xijbs08eyt5GMjKBJuB6ew76GsUcJl-CHY0SjhGJ7WRE=w408-h306-k-no","28","https://www.instagram.com/jbplumbing_heating",,"false","/g/11fm6g6331","en",,,"50.9808082","-113.9948732",,"Ogden","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 587-215-6618","+15872156618","587-215-6618","5872156618",,,,,,,,,,"587-215-6618","587.215.6618",,,,,,,,,,,,,"ChIJN6ehUc4NcVMRymHRT7FK5fE",,"T0L 1W2",,"40",,,"20","20","0","0","0","0","2026-04-18T17:36:26.993Z","http://jbplumbing.ca/","http://jbplumbing.ca/about/","http://jbplumbing.ca/about/","http://jbplumbing.ca/contact/","http://jbplumbing.ca/contact/","https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","AB","3142 Glenmore Ct SE, Calgary, AB T2C 2E6",,"false",,,"JB Clear Water Mechanical","5",,"https://www.google.com/maps/search/?api=1&query=JB%20Clear%20Water%20Mechanical&query_place_id=ChIJN6ehUc4NcVMRymHRT7FK5fE","http://www.jbplumbing.ca/",,,,,
,,,,,,,,,,,,,,,"true",,,"true",,,,,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plumber","Service establishment",,,,,,,,,"Plumber",,,"9663780895872515856",,"false",,"0",,"plumbingzone.ca",,,,,,,,,"0x5a869b0f71bc2b3:0x861ca5861dafff10",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhkcAF_5rXkScDlkIUw_terVyoxCwOhc_1Z4swUpxZKt3A3j5ZhBsnUyuNA04NgRr5wbHWOHvOgjT3UIhui1rVgbsPcMSSaYT7AseqVVGDqRmY7-kkwWGnBltEoZZseAyKplJ6=w408-h544-k-no","2",,,"false","/g/11l6lhw3b2","en",,,"51.0125833","-114.221804",,,"Monday","7:30 AM to 6 PM","Tuesday","7:30 AM to 6 PM","Wednesday","7:30 AM to 6 PM","Thursday","7:30 AM to 6 PM","Friday","7:30 AM to 6 PM","Saturday","Closed","Sunday","Closed","false","+1 825-883-9663","+18258839663",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJs8Ib97BpqAUREP-vHYalHIY",,,,"18",,,"9",,,,,,"2026-04-18T17:36:26.613Z","http://plumbingzone.ca/",,,,,"https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber",,,,"false",,,"Plumbing Zone Ltd","5",,"https://www.google.com/maps/search/?api=1&query=Plumbing%20Zone%20Ltd&query_place_id=ChIJs8Ib97BpqAUREP-vHYalHIY","http://plumbingzone.ca/",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5162 80 Ave S E, Calgary, AB T2C 2X3, Canada","Mechanical contractor",,,,,,,,,,"Mechanical contractor",,,"6394882115201264241","Calgary","false","CA","0",,"lionheadmechanical.com",,,,,,,"https://www.facebook.com/LHMYYC",,"0x537171aa88871c25:0x58bf2f66f911ea71",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEt1WPUUaS9sj6GmRoN3oGKIx4_U-7qZMUC-WJXso1uCRb1hyk8qlnoniMRgWdGn7aTo851XMsNBniNMPj-PxQPHYqkn-mkXMQtGXrMlSLtSCMEXjZH9XDc0MKezItB8P71CkZxbw=w408-h306-k-no","3",,,"false","/g/11h1ydvf9s","en",,,"50.9807467","-113.9612777",,"Southeast Calgary","Monday","7 AM to 4 PM","Tuesday","7 AM to 4 PM","Wednesday","7 AM to 4 PM","Thursday","7 AM to 4 PM","Friday","7 AM to 4 PM","Saturday","Closed","Sunday","Closed","false","+1 403-245-5466","+14032455466",,,,,,,,,,,,"403 245 5466","403-245-5466","290-8257","403-245-546640",,,,,,,,,,,"ChIJJRyHiKpxcVMRceoR-WYvv1g",,"T2C 2X3",,"39",,,"27","20","0","7","0","0","2026-04-18T17:36:26.993Z","https://lionheadmechanical.com/","https://lionheadmechanical.com/careers/","https://lionheadmechanical.com/#","https://lionheadmechanical.com/","https://lionheadmechanical.com/#home","https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","5162 80 Ave S E",,"false",,,"Lionhead Mechanical Plumbing & Heating LTD","4",,"https://www.google.com/maps/search/?api=1&query=Lionhead%20Mechanical%20Plumbing%20%26%20Heating%20LTD&query_place_id=ChIJJRyHiKpxcVMRceoR-WYvv1g","https://lionheadmechanical.com/",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"612 Auburn Bay Square SE, Calgary, AB T3M 0Y9, Canada","Dry wall contractor",,,,,,,,,,"Dry wall contractor",,,"6617819594724508152","Calgary","false","CA",,,,,,,,,,,,"0x271ac4bcfd2157a3:0x5bd737dbd32c81f8",,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bEr8cVwMIIoTGfm-qYlVjw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.11276&pitch=0&thumbfov=100","4",,,"false","/g/11q8s25q9k","en",,,"50.8849403","-113.9557864",,"Southeast Calgary","Monday","8 AM to 8 PM","Tuesday","8 AM to 8 PM","Wednesday","8 AM to 8 PM","Thursday","8 AM to 8 PM","Friday","8 AM to 8 PM","Saturday","8 AM to 12:30 PM","Sunday","Closed","false","+1 403-383-1433","+14033831433",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJo1ch_bzEGicR-IEs09s311s",,"T3M 0Y9",,"16",,,"10",,,,,,"2026-04-18T17:36:26.613Z",,,,,,"https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber","Alberta","612 Auburn Bay Square SE",,"false",,,"YYC Drywall Inc.","5",,"https://www.google.com/maps/search/?api=1&query=YYC%20Drywall%20Inc.&query_place_id=ChIJo1ch_bzEGicR-IEs09s311s",,,,,,
"true",,,,,"true",,,,,,,,,,"true",,,"true",,,"true","true",,,,"true",,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3185 114 Ave SE, Calgary, AB T2Z 3X2, Canada","Plumber","HVAC contractor",,,,,,,,,"Plumber",,,"17467137357010024019","Calgary","false","CA","0",,"canyonplumbing.com","jobs@canyonplumbing.com","hpratch@canyonplumbing.com","hvacservice@canyonplumbing.com","jsimpson@canyonplumbing.com","service@canyonplumbing.com","showroom@canyonplumbing.com","https://www.facebook.com/canyonpb",,"0x53717741ef39bcfb:0xf267bce19f89b653",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGb6w83xgvoZ4FF0NfYpt7iuyRs884nV92V0N27HWQYsf-HJcg9CFFE_2We5jnfZEpXR5xfdfkPXsT8fbCRmAy33U5nWEhHuXzBhYgz8eFzwJN58iULHVyatfrybrzqQwLVTD0Jg=w408-h248-k-no","161","https://instagram.com/canyonph",,"false","/g/1tlqpnvt","en",,,"50.949016","-113.99239",,"Shepard Industrial","Monday","7:30 AM to 4:30 PM","Tuesday","7:30 AM to 4:30 PM","Wednesday","7:30 AM to 4:30 PM","Thursday","7:30 AM to 4:30 PM","Friday","7:30 AM to 4:30 PM","Saturday","Closed","Sunday","Closed","false","+1 403-258-1505","+14032581505","+1(877)877-9957","+14032581505","403-200-9653","403-203-4852","403-203-4856","403-203-4866","403-203-4867","403-203-4878","403-203-4879","403-203-4880","403-203-4896","(403) 258 1505318","+1 (877) 877-9957","3185 114","403 258 1505","403-200-9653","403-203-4852","403-203-4856","403-203-4866","403-203-4867","403-203-4878","403-203-4879","403-203-4880","403-203-4896",,"ChIJ-7w570F3cVMRU7aJn-G8Z_I",,"T2Z 3X2",,"25",,,"487","398","29","47","8","5","2026-04-18T17:36:26.992Z","https://www.canyonplumbing.com/","https://www.canyonplumbing.com/about-us","https://www.canyonplumbing.com/careers","https://www.canyonplumbing.com/contact-us","https://www.canyonplumbing.com/our-team","https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","3185 114 Ave SE",,"false",,,"Canyon Plumbing & Heating Ltd","4.5",,"https://www.google.com/maps/search/?api=1&query=Canyon%20Plumbing%20%26%20Heating%20Ltd&query_place_id=ChIJ-7w570F3cVMRU7aJn-G8Z_I","http://www.canyonplumbing.com/",,,,,
,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plumber","Service establishment",,,,,,,,,"Plumber",,,"11261722569423958368",,"false",,,,,,,,,,,,,"0xc49b47927af06bb:0x9c49ad027d83b160",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGYuuIeHmgh-Utx4lkMWnvd3RfN6aNk_H8AeL9Z9jJN0Umkis2Q8oVj4ls1NXHpOPxzgFa66Cb2MLji21jzxBjB_fG0sZFRMdkGKg3ExewaGEO2eZHW63jSztAZgEF_CIc-ZWzgeZAYeJc=w408-h544-k-no","2",,,"false","/g/11z5xgf4b0","en",,,"50.8849142","-114.0722118",,,"Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-431-7731","+14034317731",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJuwavJ3m0SQwRYLGDfQKtSZw",,,,"11",,,,,,,,,"2026-04-18T17:36:26.612Z",,,,,,"https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber",,,,"false",,,"TR. Plumbing & Heating",,,"https://www.google.com/maps/search/?api=1&query=TR.%20Plumbing%20%26%20Heating&query_place_id=ChIJuwavJ3m0SQwRYLGDfQKtSZw",,,,,,
