"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Amenities/0/Free Wi-Fi","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Crowd/0/LGBTQ+ friendly","additionalInfo/Crowd/0/Transgender safespace","additionalInfo/Crowd/1/LGBTQ+ friendly","additionalInfo/Crowd/1/Transgender safespace","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Offerings/0/Installation service","additionalInfo/Offerings/0/Repair services","additionalInfo/Offerings/1/Installation service","additionalInfo/Offerings/1/Repair services","additionalInfo/Parking/0/Free parking lot","additionalInfo/Payments/0/Credit cards","additionalInfo/Payments/0/NFC mobile payments","additionalInfo/Payments/1/Credit cards","additionalInfo/Payments/1/NFC mobile payments","additionalInfo/Payments/2/Credit cards","additionalInfo/Payments/2/NFC mobile payments","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/English","additionalInfo/Service options/0/Online estimates","additionalInfo/Service options/0/Onsite services","additionalInfo/Service options/1/English","additionalInfo/Service options/1/Online estimates","additionalInfo/Service options/1/Onsite services","additionalInfo/Service options/2/English","additionalInfo/Service options/2/Online estimates","additionalInfo/Service options/2/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","checkInDate","checkOutDate","cid","city","claimThisBusiness","countryCode","depth","description","domain","emails/0","emails/1","emails/2","emails/3","emails/4","emails/5","emails/6","emails/7","emails/8","emails/9","emails/10","emails/11","emails/12","emails/13","emails/14","facebooks/0","facebooks/1","facebooks/2","facebooks/3","facebooks/4","facebooks/5","facebooks/6","facebooks/7","fid","floor","googleFoodUrl","hotelAds/0/googleUrl","hotelAds/0/isOfficialSite","hotelAds/0/price","hotelAds/0/title","hotelAds/0/url","hotelAds/1/googleUrl","hotelAds/1/isOfficialSite","hotelAds/1/price","hotelAds/1/title","hotelAds/1/url","hotelStars","imageUrl","imagesCount","instagrams/0","instagrams/1","isAdvertisement","kgmid","language","linkedIns/0","locatedIn","location/lat","location/lng","menu","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","phones/0","phones/1","phones/2","phones/3","phones/4","phones/5","phones/6","phones/7","phones/8","phones/9","phones/10","phonesUncertain/0","phonesUncertain/1","phonesUncertain/2","phonesUncertain/3","phonesUncertain/4","phonesUncertain/5","phonesUncertain/6","phonesUncertain/7","phonesUncertain/8","phonesUncertain/9","phonesUncertain/10","phonesUncertain/11","phonesUncertain/12","phonesUncertain/13","phonesUncertain/14","phonesUncertain/15","phonesUncertain/16","phonesUncertain/17","phonesUncertain/18","phonesUncertain/19","phonesUncertain/20","phonesUncertain/21","phonesUncertain/22","phonesUncertain/23","phonesUncertain/24","phonesUncertain/25","phonesUncertain/26","phonesUncertain/27","phonesUncertain/28","phonesUncertain/29","phonesUncertain/30","phonesUncertain/31","phonesUncertain/32","phonesUncertain/33","phonesUncertain/34","phonesUncertain/35","phonesUncertain/36","phonesUncertain/37","phonesUncertain/38","phonesUncertain/39","phonesUncertain/40","phonesUncertain/41","phonesUncertain/42","phonesUncertain/43","phonesUncertain/44","phonesUncertain/45","phonesUncertain/46","phonesUncertain/47","phonesUncertain/48","phonesUncertain/49","pinterests/0","placeId","plusCode","postalCode","price","rank","reserveTableUrl","reviews","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","scrapedUrls/0","scrapedUrls/1","scrapedUrls/2","scrapedUrls/3","scrapedUrls/4","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","twitters/0","url","website","whatsapps/0","youtubes/0","youtubes/1","youtubes/2","youtubes/3","youtubes/4"
,,,,,,,,,,,,,,,,"true",,,,"true",,,,,,,"true",,,,,,,,,,"Plumber","Service establishment",,,,,,,,,"Plumber",,,"2751246636949842323",,"false",,"0",,"plumbest.ca",,,,,,,,,,,,,,,,,,,,,,,,"0xf5ed8cd9146c115:0x262e643d54e22993",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHNBy8aA7TrendAxWrP1tQ6f7qvAjKgnw5d1U6Cr4gQNEp0kpY7BeR3VZR2NTOw649DUUykBYbC8DqwpbtBHsY7InvsJSPswYIXKKh5RsiNGIBjOCE9GH7-Q3vNJhHpptoNqnORo3LO1zft=w474-h240-k-no","7",,,"false","/g/11m5h9j3s6","en",,,"51.0276233","-114.087835",,,"Monday","7 AM to 7 PM","Tuesday","7 AM to 7 PM","Wednesday","7 AM to 7 PM","Thursday","7 AM to 7 PM","Friday","7 AM to 7 PM","Saturday","7 AM to 7 PM","Sunday","Closed","false","+1 403-463-8330","+14034638330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJFcFGkc3YXg8RkyniVD1kLiY",,,,"39",,,"12","11","1","0","0","0","2026-04-18T17:29:25.698Z","http://plumbest.ca/",,,,,"https://www.google.com/maps/search/hvac%20/@50.855265977028644,-113.88334802444844,13z?hl=en","hvac ",,,,"false","Plumbest Plumbing & Heating","4.9",,"https://www.google.com/maps/search/?api=1&query=Plumbest%20Plumbing%20%26%20Heating&query_place_id=ChIJFcFGkc3YXg8RkyniVD1kLiY","https://plumbest.ca/",,,,,,
,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calgary, AB T3M 3G4, Canada","Cottage","Vacation rental",,,,,,,,,"Cottage","2026-05-11","2026-05-14","8574211751781470968","Calgary","false","CA",,,,,,,,,,,,,,,,,,,,,,,,,,,"0x53719d129b8cf497:0x76fdb828fdea12f8",,,"https://www.google.com/travel/clk?pc=AA80Osy7p_6hhIKCl8ewhgGq7gNQzBDcMFdG1f96p1IVcDF9-gH0iYbOVhedamnSUsvh3K9UmXc0feszjnbxRC13YhIEBm7iW41m8LQ1CTISZM3TfL0iAzaqg6R5f26aXmfL1fxRhzRO8-eCMjQZgHiTDgC_K8GkWrhTDOul4HGGpkr-RAzUdoGcDqFz8jNROdtaqvoNBqWm8-3mMV1r48ljhoY&pcurl=https://www.expedia.com/Hotel-Search?selected%3D120641789%26startDate%3D2026-05-11%26endDate%3D2026-05-14%26MDPCID%3DUS.META.HPA.ORGANIC-desktop.VR%26langid%3D1033%26adults%3D2%26children%3D%26MDPDTL%3DHTL.120641789.20260511.20260514.DDT.23.CID..AUDID.%26mctc%3D10%26ct%3Dhotel%26exp_curr%3DUSD%26exp_dp%3D336.45%26exp_tx%3D104.19%26mpr%3D70.84%26exp_pg%3Dgoogle%26langid%3Den%26ad%3D2%26tp%3D%26utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_term%3D120641789%26utm_content%3Dmapresults%26utm_campaign%3DHotelAds%26rateplanid%3D0000ad808f9143bb4749bd63e9fe3d49e48f%26mpm%3D103%26mpn%3D120641789%26mpo%3DEC%26mpp%3D1&s=AD1XQnm8YhEuNTfoKL3iToz9y_dm","false","$112","Expedia.com","https://www.expedia.com/Hotel-Search?selected=120641789&startDate=2026-05-11&endDate=2026-05-14&MDPCID=US.META.HPA.ORGANIC-desktop.VR&langid=1033&adults=2&children=&MDPDTL=HTL.120641789.20260511.20260514.DDT.23.CID..AUDID.&mctc=10&ct=hotel&exp_curr=USD&exp_dp=336.45&exp_tx=104.19&mpr=70.84&exp_pg=google&langid=en&ad=2&tp=&utm_source=google&utm_medium=cpc&utm_term=120641789&utm_content=mapresults&utm_campaign=HotelAds&rateplanid=0000ad808f9143bb4749bd63e9fe3d49e48f&mpm=103&mpn=120641789&mpo=EC&mpp=1","https://www.google.com/travel/clk?pc=AA80OsyUjbHSsJT4U2kvnju1C36GIRM_4wWv4ZTNZJuVDf8V9X8rSAPTxVUFZjbZ-qWkXa1ZHtx_jyr1wO3GuTB7pJF7msgNso1yg6GUgqRZc0-OpAn7BhK7o84JvMCDZUZ_7al-5kN_CSVO2mKKHQh7WttQRzDUI6G4z-5jCVZwdeJCuGrcKLvcIA&pcurl=https://www.vrbo.com/search?selected%3D120641789%26startDate%3D2026-05-11%26endDate%3D2026-05-14%26MDPCID%3DVRBO-US.META.HPA.ORGANIC-desktop.VR%26adults%3D2%26children%3D%26MDPDTL%3DHTL.120641789.20260511.20260514.DDT.23.CID..AUDID..RRID.vrbo_us_desktop%26mctc%3D10%26ct%3Dhotel%26mpg%3DUSD%26mpf%3D336.45%26mpj%3D104.19%26mpr%3D70.84%26mpl%3DUSD%26langid%3Den%26rateplanid%3D0000ad808f9143bb4749bd63e9fe3d49e48f%26mpm%3D103%26mpn%3D120641789%26mpo%3DEC%26mpp%3D1&s=AD1XQnn0fjsNB-5DZlh1vREVsiOv","false","$112","Vrbo.com","https://www.vrbo.com/search?selected=120641789&startDate=2026-05-11&endDate=2026-05-14&MDPCID=VRBO-US.META.HPA.ORGANIC-desktop.VR&adults=2&children=&MDPDTL=HTL.120641789.20260511.20260514.DDT.23.CID..AUDID..RRID.vrbo_us_desktop&mctc=10&ct=hotel&mpg=USD&mpf=336.45&mpj=104.19&mpr=70.84&mpl=USD&langid=en&rateplanid=0000ad808f9143bb4749bd63e9fe3d49e48f&mpm=103&mpn=120641789&mpo=EC&mpp=1","Cottage","https://images.trvl-media.com/lodging/121000000/120650000/120641800/120641789/b40474e1_z.jpg","40",,,"false","/g/11yn27y_9r","en",,,"50.8691559","-113.9448853",,"Southeast Calgary",,,,,,,,,,,,,,,"false","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJl_SMmxKdcVMR-BLq_Si4_XY",,,"$101","37",,,,,,,,,"2026-04-18T17:29:25.698Z",,,,,,"https://www.google.com/maps/search/hvac%20/@50.855265977028644,-113.88334802444844,13z?hl=en","hvac ","Alberta",,,"false","Lovely 2Bedroom/1Bath Private Suite + Free parking + Separate HVAC Entire Suite!",,,"https://www.google.com/maps/search/?api=1&query=Lovely%202Bedroom%2F1Bath%20Private%20Suite%20%2B%20Free%20parking%20%2B%20Separate%20HVAC%20Entire%20Suite!&query_place_id=ChIJl_SMmxKdcVMR-BLq_Si4_XY",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HVAC contractor","Air conditioning contractor","Construction company","Service establishment","Heating contractor",,,,,,"HVAC contractor",,,"5374854661512973328",,"false",,"0",,"airtowne.ca","admin@airtowne.ca",,,,,,,,,,,,,,,"https://www.facebook.com/AirTowne",,,,,,,,"0x53719de43c64d039:0x4a9751d662d54c10",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGiv2sLDaOBu4lPtXHYqllvdVi6J8L7J_G-rqk5JWEIliDalrzfnirVTZwLuyMO65_eYCJ3kJp_bqWyn-CzeUtLfg-_PnmP2eEgpx3S8y2euoldgJDxLjd3qQ1dW8apPCmEFeiJFw=w408-h474-k-no","46","https://www.instagram.com/airtowneinc",,"false","/g/11g9qg91pk","en","https://www.linkedin.com/company/airtowne",,"51.0276233","-114.087835",,,"Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-826-5448","+14038265448","4038265448",,,,,,,,,,,"826-5448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJOdBkPOSdcVMREEzVYtZRl0o",,,,"31",,,"126","126","0","0","0","0","2026-04-18T17:29:25.772Z","https://airtowne.ca/","https://airtowne.ca/contact-us","https://airtowne.ca/contact-us#9755f17f-9d26-47b6-a449-388f12696a9b","https://airtowne.ca/","https://airtowne.ca/services","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ",,,,"false","Air Towne Inc.","5",,"https://www.google.com/maps/search/?api=1&query=Air%20Towne%20Inc.&query_place_id=ChIJOdBkPOSdcVMREEzVYtZRl0o","https://www.airtowne.ca/",,,,,,
,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,"Plumber","Service establishment","Furnace repair service","Gasfitter",,,,,,,"Plumber",,,"7507902169938932955",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0x5371779b31e9cfcf:0x68316d3eb79834db",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEx_u6jI7ydNMulZf_ro9dbR8NuhEs6UjBOtAJXCkA6TKaEqNDCskMFu0zmaDUIvI3bQDmlGqcexhGi8RTdr6GpJtleOjX0MHauIHKz7TVbiE-YnYGMky4wn9JbVwIx42gZYt5t=w464-h240-k-no","5",,,"false","/g/11clm29xpb","en",,,"51.0276233","-114.087835",,,"Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-585-2539","+14035852539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJz8_pMZt3cVMR2zSYtz5tMWg",,,,"33",,,"27","27","0","0","0","0","2026-04-18T17:29:25.697Z",,,,,,"https://www.google.com/maps/search/hvac%20/@50.855265977028644,-113.88334802444844,13z?hl=en","hvac ",,,,"false","X-Stream Plumbing And Heating Ltd.","5",,"https://www.google.com/maps/search/?api=1&query=X-Stream%20Plumbing%20And%20Heating%20Ltd.&query_place_id=ChIJz8_pMZt3cVMR2zSYtz5tMWg",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HVAC contractor","Service establishment",,,,,,,,,"HVAC contractor",,,"13109361187444585719",,"false",,"0",,"klemenzmechanical.com","estimates@klemenzmechanical.com",,,,,,,,,,,,,,,,,,,,,,,"0x8dcfaf53a6a1e2e1:0xb5edce8b29ed74f7",,,,,,,,,,,,,,,"0",,,"false","/g/11svw_lk8p","en",,,"51.0276233","-114.087835",,,,,,,,,,,,,,,,,"false","+1 403-478-2266","+14034782266","4034789435","4034782266",,,,,,,,,,"403-478-9435","403-478-2266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJ4eKhplOvz40R93TtKYvO7bU",,,,"35",,,,,,,,,"2026-04-18T17:29:25.697Z","https://klemenzmechanical.com/","https://klemenzmechanical.com/services","https://klemenzmechanical.com/#","https://klemenzmechanical.com/","https://klemenzmechanical.com/contact-us","https://www.google.com/maps/search/hvac%20/@50.855265977028644,-113.88334802444844,13z?hl=en","hvac ",,,,"false","Klemenz Mechanical",,,"https://www.google.com/maps/search/?api=1&query=Klemenz%20Mechanical&query_place_id=ChIJ4eKhplOvz40R93TtKYvO7bU","https://www.klemenzmechanical.com/","https://wa.me/14039999675",,,,,
,,,,,,,,,,,,,,,"true",,,"true",,,,,,,,,,"true",,,,"true","true",,,"169 Cramond Close SE, Calgary, AB T3M 1C2, Canada","HVAC contractor","Air conditioning repair service","Furnace repair service",,,,,,,,"HVAC contractor",,,"5112551049057505521","Calgary","false","CA","0",,"factsmechanical.ca",,,,,,,,,,,,,,,,,,,,,,,,"0xa8d0735e750fc1f9:0x46f36e17771f90f1",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGOjBwM5TH-C6NDpk3i2aP3QFnrgdejMHKe5HxItNZpAsRpzCKp95F9venefict0kM_bmeKWi_BvYmMCUzAUakVoGnKSdtoyzpAsU9JbpSV1oMqSxsaZWfjsTsnDquYOBwUFFUcKg=w408-h306-k-no","44",,,"false","/g/11y8zj4_lq","en",,,"50.8956752","-113.9817409",,"Southeast Calgary","Monday","4 to 8 PM","Tuesday","4 to 8 PM","Wednesday","4 to 8 PM","Thursday","4 to 8 PM","Friday","4 to 8 PM","Saturday","8 AM to 8 PM","Sunday","8 AM to 8 PM","false","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJ-cEPdV5z0KgR8ZAfdxdu80Y",,"T3M 1C2",,"27",,,"2","2","0","0","0","0","2026-04-18T17:29:25.697Z","https://factsmechanical.ca/","https://factsmechanical.ca/",,,,"https://www.google.com/maps/search/hvac%20/@50.855265977028644,-113.88334802444844,13z?hl=en","hvac ","Alberta","169 Cramond Close SE",,"false","F.A.C.T.S. Mechanical","5",,"https://www.google.com/maps/search/?api=1&query=F.A.C.T.S.%20Mechanical&query_place_id=ChIJ-cEPdV5z0KgR8ZAfdxdu80Y","https://factsmechanical.ca/",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,"true",,,,"47 Auburn Sound Cir SE, Calgary, AB T3M 0G6, Canada","Electrician","Electric vehicle charging station contractor","Electrical installation service","Repair service",,,,,,,"Electrician",,,"18246798691282960744","Calgary","false","CA","0",,"electrifyingdutchman.com","electrifyingdutchman@gmail.com",,,,,,,,,,,,,,,"https://www.facebook.com/electrifying.dutchman",,,,,,,,"0x53717713b9cdb3a5:0xfd39a6bbe9fbc168",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyFXsdiVFqDH_G5t7EbTKFAXj7Xi4yFD7mkKYETNbrMGWZfOAEuhc_gEX2a-6EFke5ZVQHMYkTRIZR5x8gIdYd1qKCxOl0jmQpHWHPJD0Oh_1Y1aq0Ig6LkWbe0fJ-A6anw_q_=w408-h306-k-no","138","https://www.instagram.com/electrifying_dutchman",,"false","/g/11h9263g51","en",,,"50.8931151","-113.9644666",,"Southeast Calgary","Monday","8 AM to 6 PM","Tuesday","8 AM to 6 PM","Wednesday","8 AM to 6 PM","Thursday","8 AM to 6 PM","Friday","8 AM to 6 PM","Saturday","10 AM to 6 PM","Sunday","Closed","false","+1 403-383-4878","+14033834878",,,,,,,,,,,,"383.4878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJpbPNuRN3cVMRaMH76bumOf0",,"T3M 0G6",,"32",,,"73","71","0","2","0","0","2026-04-18T17:29:25.697Z","https://electrifyingdutchman.com/","https://electrifyingdutchman.com/commercial","https://electrifyingdutchman.com/services/commercial-service-work","https://electrifyingdutchman.com/services/commercial-ev-chargers","https://electrifyingdutchman.com/residential","https://www.google.com/maps/search/hvac%20/@50.855265977028644,-113.88334802444844,13z?hl=en","hvac ","Alberta","47 Auburn Sound Cir SE",,"false","The Electrifying Dutchman","4.9",,"https://www.google.com/maps/search/?api=1&query=The%20Electrifying%20Dutchman&query_place_id=ChIJpbPNuRN3cVMRaMH76bumOf0","http://www.electrifyingdutchman.com/",,,,,,
,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,"11500 35 St SE #8002, Calgary, AB T2C 0J4, Canada","HVAC contractor","Air conditioning contractor","Air conditioning repair service","Air conditioning system supplier","Furnace repair service","Heating contractor","Heating equipment supplier","Plumber",,,"HVAC contractor",,,"6142480713098255493","Calgary","false","CA","0",,"calgarynewconstructionhvac.com","afterhourscanada@serviceexperts.ca","calgaryrnc@serviceexperts.ca",,,,,,,,,,,,,,"https://www.facebook.com/Service-Experts-Heating-Air-Conditioning-Calgary",,,,,,,,"0x5371650c7659cf97:0x553e79aa0fe8dc85",,,,,,,,,,,,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=csq1tKiVOCwJUiVd9bbV-w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=20.798254&pitch=0&thumbfov=100","2",,,"false","/g/1tgxt6fv","en","https://www.linkedin.com/company/service-experts",,"50.9491631","-113.9826706",,"Shepard Industrial","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-279-5760","+14032795760","4032795760","403-279-5760",,,,,,,,,,"403-279-5760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJl89ZdgxlcVMRhdzoD6p5PlU",,"T2C 0J4",,"36",,,"8","6","0","2","0","0","2026-04-18T17:29:25.772Z","https://www.calgarynewconstructionhvac.com/?utm_source=google-business-profile&utm_medium=organic&utm_campaign=business-listing&utm_content=central","https://www.calgarynewconstructionhvac.com/about-us/100-satisfaction-guarantee/","https://www.calgarynewconstructionhvac.com/about-us/","https://www.calgarynewconstructionhvac.com/about-us/contact/","https://www.calgarynewconstructionhvac.com/blog/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","11500 35 St SE #8002",,"false","Service Experts Heating & Air Conditioning","4","http://twitter.com/serviceexperts","https://www.google.com/maps/search/?api=1&query=Service%20Experts%20Heating%20%26%20Air%20Conditioning&query_place_id=ChIJl89ZdgxlcVMRhdzoD6p5PlU","https://www.calgarynewconstructionhvac.com/?utm_source=google-business-profile&utm_medium=organic&utm_campaign=business-listing&utm_content=central",,"https://www.youtube.com/serviceexperts",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4150 Seton Dr SE #404, Calgary, AB T3M 3C7, Canada","Mechanical contractor","Home builder",,,,,,,,,"Mechanical contractor",,,"3771738947832254970","Calgary","false","CA","0",,"modernmechanicalservices.ca","filler@godaddy.com",,,,,,,,,,,,,,,,,,,,,,,"0x53719d7176b2bda7:0x3457e896eb0c11fa",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGt-83Jrr2kA57CitTXdvwfBoewAN1_GSDIr1WeDdra5LIOhpin40bfglpH58iudnxQd-neJp0RA_rKT7_m_MvsbTLsdEipoKk9SZ7AGXx-lhcH_MWvVPfqpKk8J3rf-IlWoMA=w426-h240-k-no","74",,,"false","/g/11qnwsyqk9","en",,,"50.8770499","-113.9506",,"Southeast Calgary","Monday","8 AM to 5 PM","Tuesday","8 AM to 5 PM","Wednesday","8 AM to 5 PM","Thursday","8 AM to 5 PM","Friday","8 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","+1 587-436-9108","+15874369108","15874369108",,,,,,,,,,,"587-436-9108","404-4150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJp72ydnGdcVMR-hEM65boVzQ",,"T3M 3C7",,"26",,,"101","101","0","0","0","0","2026-04-18T17:29:25.697Z","https://modernmechanicalservices.ca/","https://modernmechanicalservices.ca/#","https://modernmechanicalservices.ca/m/create-account","https://modernmechanicalservices.ca/m/login?r=%2Fm%2Faccount","https://modernmechanicalservices.ca/contact-us","https://www.google.com/maps/search/hvac%20/@50.855265977028644,-113.88334802444844,13z?hl=en","hvac ","Alberta","4150 Seton Dr SE #404",,"false","Modern Mechanical Services","5",,"https://www.google.com/maps/search/?api=1&query=Modern%20Mechanical%20Services&query_place_id=ChIJp72ydnGdcVMR-hEM65boVzQ","https://modernmechanicalservices.ca/","https://wa.me/15874369108",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10707 50 St SE, Calgary, AB T2C 3E5, Canada","HVAC contractor",,,,,,,,,,"HVAC contractor",,,"14181720481098385857","Calgary","false","CA","0",,"akbrown.com","info@akbrown.com","allan@akbrown.com","John.brown@akbrown.com","Kevin@akbrown.com","shaun.fedechko@akbrown.com","brennan.grasdahl@akbrown.com","Dave.mekechuk@akbrown.com","mike.robson@akbrown.com","billing@akbrown.com","Dorron.Scherger@akbrown.com","robert.dedeugd@akbrown.com","Chris.Hannah@akbrown.com","Jared.Bonneville@akbrown.com","john.ferrier@akbrown.com","Greg.Thoman@akbrown.com","https://www.facebook.com/AKBrownLTD",,,,,,,,"0x53717a9c8e40ad77:0xc4cf97a3bbc049c1",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQyZemURpUvVwpNc_XJWbqq3AqeaQRGMl8bPuZTxT33OCFdsEPh0NMr8_cpOunz4XFPEiKrdxvvh_p7cyiFhiEwE9HXVCQEWc11Im3wa_zS0U1GQGWaLwaDLtB7H4ULfwvICkI=w408-h306-k-no","4","http://instagram.com/akbrownltd",,"false","/g/1trpqglb","en","https://www.linkedin.com/company/akbrownltd",,"50.9575205","-113.9621119",,"East Shepard Industrial","Monday","7 AM to 5 PM","Tuesday","7 AM to 5 PM","Wednesday","7 AM to 5 PM","Thursday","7 AM to 5 PM","Friday","7 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","+1 403-237-5540","+14032375540","403.237.5540",,,,,,,,,,,"403.237.5540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJd61Ajpx6cVMRwUnAu6OXz8Q",,"T2C 3E5",,"42",,,"29","24","1","4","0","0","2026-04-18T17:29:26.609Z","https://akbrown.com/","https://akbrown.com/about-us/our-team","https://akbrown.com/careers","https://akbrown.com/services/fire-suppression-system","https://akbrown.com/about-us","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","10707 50 St SE",,"false","AK Brown Ltd","4.4",,"https://www.google.com/maps/search/?api=1&query=AK%20Brown%20Ltd&query_place_id=ChIJd61Ajpx6cVMRwUnAu6OXz8Q","https://akbrown.com/",,,,,,
